('EBAS_VNAME', 'CFNAME', 'MATRIX_NAME')
('PCB_172+197', 'mass_concentration_of_polychlorinated_biphenyl_172_197_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_174', 'mass_concentration_of_polychlorinated_biphenyl_174_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_175', 'mass_concentration_of_polychlorinated_biphenyl_175_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_177', 'mass_concentration_of_polychlorinated_biphenyl_177_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_178', None, 'aerosol')
('PCB_178+129', 'mass_concentration_of_polychlorinated_biphenyl_178_129_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_179', 'mass_concentration_of_polychlorinated_biphenyl_179_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_18', 'mass_concentration_of_polychlorinated_biphenyl_18_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_180', 'mass_concentration_of_polychlorinated_biphenyl_180_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_183', 'mass_concentration_of_polychlorinated_biphenyl_183_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_185', 'mass_concentration_of_polychlorinated_biphenyl_185_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_187', 'mass_concentration_of_polychlorinated_biphenyl_187_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_188', None, 'aerosol')
('PCB_189', 'mass_concentration_of_polychlorinated_biphenyl_189_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_19', 'mass_concentration_of_polychlorinated_biphenyl_19_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_191', 'mass_concentration_of_polychlorinated_biphenyl_191_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_193', 'mass_concentration_of_polychlorinated_biphenyl_193_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_194', 'mass_concentration_of_polychlorinated_biphenyl_194_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_195', 'mass_concentration_of_polychlorinated_biphenyl_195_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_196+203', 'mass_concentration_of_polychlorinated_biphenyl_196_203_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_198', 'mass_concentration_of_polychlorinated_biphenyl_198_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_199', 'mass_concentration_of_polychlorinated_biphenyl_199_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_200', 'mass_concentration_of_polychlorinated_biphenyl_200_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_201', None, 'aerosol')
('PCB_201+157', 'mass_concentration_of_polychlorinated_biphenyl_201_157_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_202', None, 'aerosol')
('PCB_205', 'mass_concentration_of_polychlorinated_biphenyl_205_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_206', 'mass_concentration_of_polychlorinated_biphenyl_206_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_207', 'mass_concentration_of_polychlorinated_biphenyl_207_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_208', None, 'aerosol')
('PCB_209', 'mass_concentration_of_polychlorinated_biphenyl_209_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_22', 'mass_concentration_of_polychlorinated_biphenyl_22_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_24+27', 'mass_concentration_of_polychlorinated_biphenyl_24_27_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_25', 'mass_concentration_of_polychlorinated_biphenyl_25_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_26', 'mass_concentration_of_polychlorinated_biphenyl_26_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_28', 'mass_concentration_of_polychlorinated_biphenyl_28_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_28+31', None, 'aerosol')
('PCB_3', 'mass_concentration_of_polychlorinated_biphenyl_3_in_dry_aerosol_particles_in _air', 'aerosol')
