WMO306_CD,PATH_TX,SOURCE_VARIABLE_ID,SOURCE_MATRIX_ID,CF_STANDARD_NAME_TX,IUPAC_NAME_TX,DEFINITION_TX
10064,\Ocean\Topography,,,,,
740,\Ocean\Topography\Mean dynamic topography (MDT),,,,,
741,\Ocean\Topography\Mean sea surface (MSS),,,,,
742,"\Ocean\Topography\Sea surface height (SSH, OST)",,,,,
10081,\Ocean\Transmissivity,,,,,
10082,\Ocean\Transmissivity\CTD,,,,,
10083,\Ocean\Waves,,,,,
745,\Ocean\Waves\Directional waves,,,,,"Waves measured in X,Y,Z directions"
743,\Ocean\Waves\Wave height,,,,,Average of height (trough to crest) of the waves sampled over a specified time period.
744,\Ocean\Waves\Wave period,,,,,"The time required for two successive wave crests to pass a fixed point, or the time for a single wave crest to travel a distance equal to the length of the wave. This is averaged over a specified period of time."
10084,\Ocean\Wind,,,,,
10085,\Outer Space,,,,,
10086,\Outer Space\Energetic particles / solar wind ,,,,,
10087,\Outer Space\Energetic particles / solar wind \Particle density,,,,,
10088,\Outer Space\Energetic particles / solar wind \Particle flux,,,,,
10089,\Outer Space\Ionospheric disturbances,,,,,
119,\Outer Space\Ionospheric disturbances\Ionospheric Vertical Total Electron Content (VTEC),,,,,Number of electrons between two points.
10090,\Outer Space\Solar monitoring,,,,,
10091,\Terrestrial,,,,,
10092,\Terrestrial\Ground water,,,,,
10093,\Terrestrial\Lake,,,,,
10094,\Terrestrial\Lake\Snow / Ice / Glacier,,,,,
10095,\Terrestrial\Lake\Snow / Ice / Glacier\Ice,,,,,
10096,\Terrestrial\Lake\Temperature,,,,,
10097,\Terrestrial\Land surface,,,,,
10098,\Terrestrial\Land surface\Fire,,,,,
10099,\Terrestrial\Land surface\Greenhouse Gas,,,,,
10100,\Terrestrial\Land surface\Humidity,,,,,
10101,\Terrestrial\Land surface\Radiation,,,,,
10102,\Terrestrial\Land surface\Snow / Ice / Glacier,,,,,
10103,\Terrestrial\Land surface\Snow / Ice / Glacier\Glacier,,,,,
12010,\Terrestrial\Land surface\Snow / Ice / Glacier\Glacier\Glacier mass balance at a point,,,,,"Surface mass balance is the result of all processes adding and removing mass from the glacier at a point on its surface, expressed over a stated period of time."
12011,\Terrestrial\Land surface\Snow / Ice / Glacier\Glacier\Glacier-wide mass balance,,,,,"Surface mass balance (glacier wide) is the result of all processes adding and removing mass from the glacier at its surface, expressed over a stated period of time and integrated over the entire glacier area"
12013,\Terrestrial\Land surface\Snow / Ice / Glacier\Glacier\Surface ablation at a point,,,,,The mass removed from the glacier at a point on its surface expressed over a stated period of time.
12012,\Terrestrial\Land surface\Snow / Ice / Glacier\Glacier\Surface accumulation at a point,,,,,The mass added to the glacier at a point on its surface expressed over a stated period of time.
10104,\Terrestrial\Land surface\Snow / Ice / Glacier\Ice,,,,,
